latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
38.2635,27.24076,322.37,1.51,1.21,2023-07-10,1115,A,68,6.1NRT,308.01,13.42,D
38.26027,27.22382,324.78,1.52,1.22,2023-07-10,1115,A,72,6.1NRT,309.88,18.42,D
38.25567,27.23615,323.06,1.51,1.21,2023-07-10,1115,A,69,6.1NRT,307.62,14.79,D
38.6796,29.23276,321.7,1.19,1.08,2023-07-10,1115,A,56,6.1NRT,306.42,8.77,D
38.67727,29.21941,326.23,1.19,1.08,2023-07-10,1115,A,71,6.1NRT,306.16,14.04,D
38.67494,29.20605,326.82,1.19,1.09,2023-07-10,1115,A,74,6.1NRT,305.28,14.75,D
38.67261,29.19272,321.52,1.19,1.09,2023-07-10,1115,A,50,6.1NRT,307.81,8.31,D
38.68443,29.20325,322.37,1.19,1.09,2023-07-10,1115,A,17,6.1NRT,308.15,9.03,D
38.64719,27.40788,321.25,1.46,1.19,2023-07-10,1115,A,48,6.1NRT,308.09,12.62,D
38.85184,27.00786,351.14,1.51,1.21,2023-07-10,1115,A,72,6.1NRT,308.28,93.11,D
39.42741,29.96959,318.05,1.09,1.04,2023-07-10,1115,A,31,6.1NRT,304.3,9.27,D
39.46299,30.0112,329.63,1.09,1.04,2023-07-10,1115,A,81,6.1NRT,304.38,20.72,D
39.47414,30.02091,320.09,1.09,1.04,2023-07-10,1115,A,57,6.1NRT,302.88,8.89,D
39.47212,30.00871,329.63,1.09,1.04,2023-07-10,1115,A,82,6.1NRT,304.01,20.69,D
39.53949,29.53146,315.77,1.12,1.06,2023-07-10,1115,A,58,6.1NRT,302.24,8.79,D
40.09377,29.50564,324.93,1.11,1.05,2023-07-10,1115,A,32,6.1NRT,306.82,13.17,D
40.09009,29.427,317.09,1.12,1.05,2023-07-10,1115,A,67,6.1NRT,302.1,10.82,D
40.20695,29.27747,316.6,1.13,1.06,2023-07-10,1115,A,61,6.1NRT,302.36,8.88,D
40.20317,28.94378,325.32,1.16,1.07,2023-07-10,1115,A,23,6.1NRT,307.11,10.88,D
40.1753,28.78407,319.42,1.18,1.08,2023-07-10,1115,A,62,6.1NRT,304.7,10.55,D
40.24662,28.65608,321.11,1.19,1.08,2023-07-10,1115,A,57,6.1NRT,305.84,9.21,D
40.62269,29.2732,316.41,1.11,1.05,2023-07-10,1115,A,32,6.1NRT,302.73,7.13,D
41.19022,28.60412,322.5,1.16,1.07,2023-07-10,1115,A,71,6.1NRT,306.55,11.14,D
41.21646,27.86917,323.12,1.24,1.1,2023-07-10,1115,A,38,6.1NRT,306.92,10.22,D
41.23643,27.92323,322.66,1.23,1.1,2023-07-10,1115,A,63,6.1NRT,307.17,11.14,D
47.3916,1.92169,313.17,1.11,1.05,2023-07-10,1255,A,53,6.1NRT,297.69,7.13,D
47.38914,1.90748,323.37,1.11,1.05,2023-07-10,1255,A,76,6.1NRT,300.27,18.41,D
47.40073,1.91822,330.14,1.11,1.05,2023-07-10,1255,A,83,6.1NRT,298.86,26.24,D
47.39828,1.90402,352.65,1.11,1.05,2023-07-10,1255,A,96,6.1NRT,298.86,71.99,D
49.23937,6.84891,322.85,1.09,1.04,2023-07-10,1255,A,44,6.1NRT,304.77,11.87,D
48.61786,2.36411,319.87,1.05,1.02,2023-07-10,1255,A,62,6.1NRT,305.15,8.26,D
49.35657,6.74888,324.36,1.09,1.04,2023-07-10,1255,A,50,6.1NRT,308.87,11.63,D
49.22828,2.91011,316.59,1.02,1.01,2023-07-10,1255,A,62,6.1NRT,303.74,8.65,D
50.70682,8.68277,326.18,1.31,1.13,2023-07-10,1255,A,81,6.1NRT,302.43,24.66,D
51.36674,6.7084,323.95,1.13,1.06,2023-07-10,1257,A,68,6.1NRT,302.53,17.29,D
51.16703,3.80438,327.22,1,1,2023-07-10,1257,A,0,6.1NRT,300.98,17.8,D
51.03497,2.28592,320.12,1.01,1.01,2023-07-10,1257,A,54,6.1NRT,303.86,9.72,D
52.14722,10.39138,316.58,1.62,1.25,2023-07-10,1257,A,58,6.1NRT,298.52,18.14,D
52.4922,4.61372,316.55,1.04,1.02,2023-07-10,1257,A,46,6.1NRT,302.78,7.39,D
57.96664,0.889,314.53,1.01,1,2023-07-10,1257,A,61,6.1NRT,286.4,15.02,D
37.16154,14.01124,333.79,1.6,1.25,2023-07-10,1251,A,86,6.1NRT,308.79,34.08,D
37.15967,13.99255,332.71,1.6,1.25,2023-07-10,1251,A,85,6.1NRT,307.65,30.07,D
37.17266,14.00955,333.33,1.6,1.25,2023-07-10,1251,A,85,6.1NRT,307.92,33.1,D
